age,budget_per_person_daily,city_you_resided_in,travel_group_composition,types_of_attractions,places_visited_in_the_uae,season
31,129,Fujairah,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
25,37,Ras Al Khaimah,8,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
52,226,Dubai,7,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
19,36,Dubai,7,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
59,72,Ajman,2,Kids,Miracle Garden,Winter
31,645,Ras Al Khaimah,7,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
43,236,Sharjah,8,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
21,221,Ras Al Khaimah,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
49,139,Ras Al Khaimah,4,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
28,90,Fujairah,7,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
43,545,Sharjah,9,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
80,522,Ajman,9,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
28,205,Ajman,1,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
49,242,Abu Dhabi,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
36,116,Abu Dhabi,10,Kids,Miracle Garden,Summer
45,235,Ajman,8,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
52,88,Umm Al Qaiwain,8,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
34,124,Abu Dhabi,5,Kids,Miracle Garden,Winter
18,166,Dubai,4,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
53,566,Ajman,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
70,184,Dubai,5,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
31,179,Umm Al Qaiwain,4,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
59,141,Umm Al Qaiwain,2,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
38,230,Umm Al Qaiwain,6,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
70,66,Umm Al Qaiwain,10,Kids,Miracle Garden,Summer
70,210,Sharjah,9,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
34,75,Ajman,3,Kids,Miracle Garden,Winter
48,72,Fujairah,9,Kids,Miracle Garden,Winter
73,665,Fujairah,9,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
56,181,Dubai,5,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
48,245,Dubai,2,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
58,597,Dubai,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
53,174,Abu Dhabi,10,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
40,103,Ras Al Khaimah,2,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
34,712,Ajman,3,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
28,188,Sharjah,6,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
37,180,Dubai,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
52,114,Umm Al Qaiwain,8,Kids,Miracle Garden,Summer
17,53,Ras Al Khaimah,9,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
21,57,Abu Dhabi,6,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
37,49,Ras Al Khaimah,2,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
12,124,Ras Al Khaimah,2,Kids,Miracle Garden,Winter
52,84,Fujairah,1,Kids,Miracle Garden,Summer
62,61,Sharjah,9,Kids,Miracle Garden,Winter
50,79,Dubai,4,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
24,35,Dubai,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
77,593,Ajman,9,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
19,103,Abu Dhabi,9,Kids,Miracle Garden,Summer
53,110,Dubai,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
52,125,Ras Al Khaimah,1,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
42,167,Dubai,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
41,135,Abu Dhabi,10,Kids,Miracle Garden,Summer
56,132,Abu Dhabi,9,Kids,Miracle Garden,Summer
43,111,Umm Al Qaiwain,4,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
61,184,Dubai,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
26,247,Ras Al Khaimah,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
46,171,Dubai,6,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
31,171,Dubai,9,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
59,554,Dubai,1,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
14,184,Ajman,8,Kids,Miracle Garden,Summer
14,200,Fujairah,7,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
58,204,Fujairah,2,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
31,105,Sharjah,5,Kids,Miracle Garden,Winter
29,93,Umm Al Qaiwain,6,Kids,Miracle Garden,Summer
20,217,Umm Al Qaiwain,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
17,72,Umm Al Qaiwain,5,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
15,210,Dubai,10,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
58,552,Ajman,1,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
34,70,Abu Dhabi,3,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
39,187,Ras Al Khaimah,8,Kids,Miracle Garden,Summer
59,66,Dubai,7,Kids,Miracle Garden,Summer
36,469,Abu Dhabi,7,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
65,180,Ajman,4,Kids,Miracle Garden,Summer
27,243,Abu Dhabi,9,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
33,256,Ras Al Khaimah,7,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
51,111,Fujairah,2,Kids,Miracle Garden,Summer
57,95,Umm Al Qaiwain,10,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
40,119,Umm Al Qaiwain,10,Kids,Miracle Garden,Summer
47,217,Ajman,7,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
37,706,Ras Al Khaimah,3,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
56,230,Umm Al Qaiwain,9,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
37,208,Umm Al Qaiwain,1,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
41,44,Abu Dhabi,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
63,138,Umm Al Qaiwain,7,Kids,Miracle Garden,Winter
44,557,Umm Al Qaiwain,10,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
80,610,Abu Dhabi,1,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
47,385,Dubai,1,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
62,119,Sharjah,7,Kids,Miracle Garden,Winter
62,191,Fujairah,6,Kids,Miracle Garden,Winter
20,94,Umm Al Qaiwain,1,Kids,Miracle Garden,Winter
54,628,Fujairah,5,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
48,174,Ajman,3,Kids,Miracle Garden,Winter
71,230,Ras Al Khaimah,2,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
36,153,Fujairah,3,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
62,701,Ras Al Khaimah,8,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
34,108,Ras Al Khaimah,5,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
15,98,Ajman,3,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
50,155,Abu Dhabi,8,Kids,Miracle Garden,Winter
44,412,Sharjah,1,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
53,90,Sharjah,1,Kids,Miracle Garden,Summer
61,98,Ajman,3,Kids,Miracle Garden,Summer
14,124,Ajman,7,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
73,293,Ajman,10,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
57,91,Ajman,2,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
54,49,Dubai,8,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
59,155,Fujairah,8,Kids,Miracle Garden,Summer
49,116,Dubai,9,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
33,534,Sharjah,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
18,164,Ras Al Khaimah,1,Kids,Miracle Garden,Winter
26,159,Fujairah,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
55,158,Dubai,9,Kids,Miracle Garden,Summer
14,159,Fujairah,4,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
28,131,Dubai,8,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
53,201,Ras Al Khaimah,5,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
50,215,Dubai,4,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
52,425,Dubai,3,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
17,148,Umm Al Qaiwain,4,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
34,145,Fujairah,6,Kids,Miracle Garden,Winter
77,540,Dubai,10,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
44,191,Ajman,5,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
52,108,Dubai,7,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
27,156,Abu Dhabi,10,Kids,Miracle Garden,Summer
60,169,Ajman,6,Kids,Miracle Garden,Winter
45,168,Sharjah,9,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
35,197,Dubai,10,Kids,Miracle Garden,Winter
14,102,Dubai,5,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
21,172,Ras Al Khaimah,9,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
19,80,Ras Al Khaimah,10,Kids,Miracle Garden,Winter
37,67,Ajman,9,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
38,63,Sharjah,7,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
52,29,Abu Dhabi,7,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
27,174,Umm Al Qaiwain,3,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
39,73,Fujairah,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
55,68,Sharjah,10,Kids,Miracle Garden,Winter
60,422,Ras Al Khaimah,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
65,218,Sharjah,3,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
52,163,Ras Al Khaimah,2,Kids,Miracle Garden,Winter
50,218,Ajman,10,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
28,59,Sharjah,4,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
60,425,Abu Dhabi,9,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
46,604,Ajman,8,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
38,24,Sharjah,9,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
69,231,Umm Al Qaiwain,8,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
25,110,Umm Al Qaiwain,10,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
66,181,Fujairah,2,Kids,Miracle Garden,Winter
50,108,Umm Al Qaiwain,1,Kids,Miracle Garden,Winter
34,121,Fujairah,7,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
48,346,Fujairah,9,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
38,236,Sharjah,9,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
53,131,Ajman,1,Kids,Miracle Garden,Summer
66,182,Ras Al Khaimah,9,Kids,Miracle Garden,Winter
15,45,Fujairah,3,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
42,199,Umm Al Qaiwain,9,Kids,Miracle Garden,Summer
29,162,Dubai,5,Kids,Miracle Garden,Winter
33,235,Sharjah,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
40,29,Sharjah,6,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
47,129,Dubai,9,Kids,Miracle Garden,Summer
57,220,Ajman,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
51,112,Ras Al Khaimah,5,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
69,82,Ras Al Khaimah,8,Kids,Miracle Garden,Summer
60,114,Abu Dhabi,3,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
54,146,Abu Dhabi,10,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
40,239,Fujairah,9,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
48,99,Ajman,6,Kids,Miracle Garden,Summer
31,137,Ras Al Khaimah,5,Kids,Miracle Garden,Summer
22,46,Sharjah,6,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
25,200,Fujairah,7,Kids,Miracle Garden,Winter
45,250,Fujairah,7,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
22,192,Abu Dhabi,9,Kids,Miracle Garden,Summer
41,162,Umm Al Qaiwain,9,Kids,Miracle Garden,Summer
59,24,Dubai,1,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
48,172,Sharjah,3,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
69,88,Sharjah,6,Kids,Miracle Garden,Winter
40,167,Dubai,5,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
38,38,Abu Dhabi,8,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
24,65,Fujairah,9,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
38,121,Ras Al Khaimah,3,Kids,Miracle Garden,Summer
25,25,Ajman,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
16,145,Abu Dhabi,10,Kids,Miracle Garden,Summer
48,20,Dubai,6,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
40,35,Umm Al Qaiwain,4,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
49,214,Fujairah,2,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
58,653,Dubai,5,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
19,74,Sharjah,1,Kids,Miracle Garden,Summer
78,604,Sharjah,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
69,118,Umm Al Qaiwain,5,Kids,Miracle Garden,Summer
69,153,Sharjah,7,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
21,30,Fujairah,4,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
47,68,Ras Al Khaimah,3,Kids,Miracle Garden,Winter
54,214,Fujairah,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
32,108,Sharjah,8,Kids,Miracle Garden,Summer
32,508,Ajman,1,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
21,28,Ras Al Khaimah,1,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
70,161,Fujairah,9,Kids,Miracle Garden,Summer
34,180,Ras Al Khaimah,7,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
38,226,Sharjah,1,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
50,300,Abu Dhabi,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
55,198,Fujairah,8,Kids,Miracle Garden,Summer
17,197,Abu Dhabi,3,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
29,182,Ajman,7,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
31,65,Fujairah,3,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
59,168,Sharjah,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
38,24,Ras Al Khaimah,1,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
51,188,Fujairah,6,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
49,186,Dubai,2,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
20,149,Ajman,2,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
57,330,Ajman,7,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
34,228,Abu Dhabi,3,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
47,196,Ajman,6,Kids,Miracle Garden,Summer
22,226,Abu Dhabi,6,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
80,375,Ajman,6,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
50,262,Umm Al Qaiwain,4,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Summer
80,79,Fujairah,2,Historical,"Qasr Al Hosn, Sharjah Museum of Islamic Civilization, Umm Al Quwain Fort and Museum, The Dubai Opera, Al Jazirah Al Hamra",Winter
52,214,Dubai,7,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
24,64,Ajman,2,Kids,Miracle Garden,Summer
47,203,Sharjah,10,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
21,76,Dubai,8,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
49,187,Ras Al Khaimah,5,Kids,Miracle Garden,Winter
26,114,Ajman,10,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Summer
59,128,Umm Al Qaiwain,1,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Summer
52,175,Umm Al Qaiwain,5,Kids,Miracle Garden,Summer
34,72,Sharjah,7,Kids,Miracle Garden,Winter
66,145,Umm Al Qaiwain,3,Kids,Miracle Garden,Summer
49,149,Ajman,3,Kids,Miracle Garden,Summer
51,248,Fujairah,10,Outdoor,"Dubai Fountain, Saadiyat Island, Miracle Garden, Jebel Jais, Ajman Beach",Winter
39,161,Sharjah,7,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
36,114,Ras Al Khaimah,3,Kids,Miracle Garden,Summer
28,181,Fujairah,10,Landmark,"Dubai Fountain, Saadiyat Island, Jebel Jais, Ajman Beach, Qasr Al Hosn",Winter
